,,,,,,
owner,namespace,image_name,age_in_days,action,,
VigApp,vig-app-prod,mgmt-entities-loader,486,replace,,
VigApp,vig-app-prod,vig-app-backend,486,replace,,
VigApp,vig-app-prod,vig-app-frontend-react,486,replace,,
bd-infra,agent-files-gateway-prod,agent-files-gateway,493,replace,,
bd-infra,apicurio-prod,apicurio-v225,468,replace,,
bd-infra,ares-prod-gov,apollo-dmux,1364,replace,,
bd-infra,hermes-json-encoder-prod,hermes-json-encoder,960,replace,,
bd-infra,hermes-prod,hermes-api,1365,replace,,
bd-infra,kafka-connect-s3-prod,kafka-connect-s3,958,replace,,
bd-infra,perseus-prod-gov,apollo-dmux,1137,replace,,
bd-infra,reputation-data-collector-prod,reputation-data-collector,460,replace,,
bd-infra,reputation-kafka-connect-prod,kafka-connect-v624,469,replace,,
bd-infra,reputation-sighting-logger-prod,reputation-sighting-logger,461,replace,,
bd-infra,reputation-sightings-provider-prod,reputation-sightings-provider,460,replace,,
bd-infra,reputation-verdict-calculator-service-prod,reputation-verdict-calculator-service,460,replace,,
bd-infra,reputation-verdict-modifier-prod,reputation-verdict-modifier,460,replace,,
bd-infra,reputation-verdict-provider-prod,reputation-verdict-provider,460,replace,,
bd-infra,scalyr-star-prod,scalyr-star-control-plane,448,replace,,
bd-infra,telemetry-gateway2-prod,telemetry-gateway,24,maintain,,
bigdata,cloud-funnel-control-plane-prod,service-api,439,replace,,
common-platform-services,cloud-data-services-prod,mgmt-entities-loader,619,replace,,
common-platform-services,toggle-service-prod,mgmt-entities-loader,622,replace,,
common-platform-services,toggle-service-prod,service-api,622,replace,,
cps-infra,atlas-cm-service-prod,atlas-cm-service,871,replace,,
cps-infra,file-services-prod,file-services,359,replace,,
cps-infra,file-services-prod,nginx-prometheus-exporter,359,replace,,
cps-infra,file-services-prod,ubuntu,359,replace,,
dbap,reputation-cassandra-prod,cass-operator,455,replace,,
dbap,reputation-cassandra-prod,cassandra-reaper,282,replace,,
devops,cert-manager,cert-manager-cainjector,321,replace,,
devops,cert-manager,cert-manager-controller,321,replace,,
devops,cert-manager,cert-manager-webhook,321,replace,,
devops,ebs-controller,livenessprobe,367,replace,,
devops,external-secrets,kubernetes-external-secrets,363,replace,,
devops,gha-sentinel-general-use-runner,kube-rbac-proxy,217,replace,,
devops,gha-sentinel-iac-runner,kube-rbac-proxy,217,replace,,
devops,gha-sentinel-iam-runner,kube-rbac-proxy,196,replace,,
devops,kube-system,cluster-autoscaler,1065,replace,,
devops,kube-system,cluster-proportional-autoscaler,1065,replace,,
devops,kube-system,coredns,1065,replace,,
devops,kubernetes-dashboard,dashboard,1065,replace,,
devops,kubernetes-dashboard,metrics-scraper,1065,replace,,
devops,logstash,logstash-exporter,413,replace,,
devops,sealed-secrets,sealed-secrets-controller,1063,replace,,
devops,spark-operator,s1-spark-operator,247,replace,,
devops,traefik-external,traefik,681,replace,,
devops,traefik-internal,traefik,1065,replace,,
dpcs,eventdb-coordinator-prod,mgmt-entities-loader,478,replace,,
dpcs,eventdb-coordinator-prod,service-api,483,replace,,
dpcs,query-gateway-prod,query-gateway,1576,replace,,
elabs,remote-ops-forensics-mms-prod,mgmt-entities-loader,155,replace,,
elabs,remote-ops-mms-prod,mgmt-entities-loader,114,replace,,
elabs,remote-ops-mms-prod,scheduler,101,replace,,
embedded-devops,doppler-listener,doppler-listener,185,replace,,
embedded-devops,fedramp-replication-gov-prod,docker,377,replace,,
epps,mgmt-upgrade-policy-prod,activities-manager,493,replace,,
epps,mgmt-upgrade-policy-prod,maintenance-manager,493,replace,,
epps,mgmt-upgrade-policy-prod,maintenance-worker,493,replace,,
epps,mgmt-upgrade-policy-prod,mgmt-entities-loader,493,replace,,
epps,mgmt-upgrade-policy-prod,service-api,493,replace,,
fedramp-sre,mgmt-console-shared-0-kafka-prod,cert-update,157,replace,,
fedramp-sre,mgmt-console-shared-0-kafka-prod,kafka,785,replace,,
fedramp-sre,mgmt-console-shared-0-kafka-prod,kafka-lag-exporter,497,replace,,
fedramp-sre,mgmt-console-shared-0-kafka-prod,kafka-prometheus-jmx-exporter,497,replace,,
fedramp-sre,mgmt-console-shared-0-kafka-prod,strimzi-operator,157,replace,,
fedramp-sre,mgmt-console-shared-0-kafka-prod,user-secret-sync,157,replace,,
fedramp-sre,mgmt-entities-stream-kafka-prod,cert-update,156,replace,,
fedramp-sre,mgmt-entities-stream-kafka-prod,kafka,1137,replace,,
fedramp-sre,mgmt-entities-stream-kafka-prod,kafka-lag-exporter,500,replace,,
fedramp-sre,mgmt-entities-stream-kafka-prod,kafka-prometheus-jmx-exporter,500,replace,,
fedramp-sre,mgmt-entities-stream-kafka-prod,strimzi-operator,156,replace,,
fedramp-sre,mgmt-entities-stream-kafka-prod,user-secret-sync,156,replace,,
fedramp-sre,mgmt-war-kafka-prod,cert-update,156,replace,,
fedramp-sre,mgmt-war-kafka-prod,kafka,1357,replace,,
fedramp-sre,mgmt-war-kafka-prod,kafka-lag-exporter,497,replace,,
fedramp-sre,mgmt-war-kafka-prod,kafka-prometheus-jmx-exporter,497,replace,,
fedramp-sre,mgmt-war-kafka-prod,strimzi-operator,156,replace,,
fedramp-sre,mgmt-war-kafka-prod,user-secret-sync,156,replace,,
fedramp-sre,mms-kafka-prod,cert-update,156,replace,,
fedramp-sre,mms-kafka-prod,kafka,1357,replace,,
fedramp-sre,mms-kafka-prod,kafka-lag-exporter,500,replace,,
fedramp-sre,mms-kafka-prod,kafka-prometheus-jmx-exporter,500,replace,,
fedramp-sre,mms-kafka-prod,strimzi-operator,156,replace,,
fedramp-sre,mms-kafka-prod,user-secret-sync,156,replace,,
fedramp-sre,perseus-kafka-prod,cert-update,156,replace,,
fedramp-sre,perseus-kafka-prod,kafka,1142,replace,,
fedramp-sre,perseus-kafka-prod,kafka-lag-exporter,497,replace,,
fedramp-sre,perseus-kafka-prod,kafka-prometheus-jmx-exporter,497,replace,,
fedramp-sre,perseus-kafka-prod,strimzi-operator,156,replace,,
fedramp-sre,perseus-kafka-prod,user-secret-sync,156,replace,,
fedramp-sre,ranger-pipeline-kafka-prod,cert-update,156,replace,,
fedramp-sre,ranger-pipeline-kafka-prod,kafka,1137,replace,,
fedramp-sre,ranger-pipeline-kafka-prod,kafka-lag-exporter,500,replace,,
fedramp-sre,ranger-pipeline-kafka-prod,kafka-prometheus-jmx-exporter,500,replace,,
fedramp-sre,ranger-pipeline-kafka-prod,strimzi-operator,156,replace,,
fedramp-sre,ranger-pipeline-kafka-prod,user-secret-sync,156,replace,,
fleet-management,license-service-prod,mgmt-entities-loader,275,replace,,
fleet-management,license-service-prod,service-api,275,replace,,
iam-team,atlas-auth-service-prod,atlas-auth-service,871,replace,,
iam-team,identity-provider-service-prod,authentication-service,97,replace,,
iam-team,identity-provider-service-prod,authorization-service,274,replace,,
iam-team,identity-provider-service-prod,keycloak,52,maintain,,
iam-team,identity-provider-service-prod,mgmt-entities-loader,274,replace,,
iam-team,identity-provider-service-prod,sql-metrics-exporter,97,replace,,
iam-team,identity-provider-service-prod,trust-service,274,replace,,
infra,traefik-internal,external-autoscaler,375,replace,,
infra-apps,mgmt-console-shared-0-kafka-prod,akhq,423,replace,,
infra-apps,mgmt-entities-stream-kafka-prod,akhq,423,replace,,
infra-apps,mgmt-war-kafka-prod,akhq,449,replace,,
infra-apps,mms-kafka-prod,akhq,500,replace,,
infra-apps,monitoring,cert-exporter-v211,388,replace,,
infra-apps,monitoring,kube-state-metrics,495,replace,,
infra-apps,monitoring,nginx,484,replace,,
infra-apps,observability,prometheus-operator,548,replace,,
infra-apps,perseus-kafka-prod,akhq,497,replace,,
infra-apps,ranger-pipeline-kafka-prod,akhq,500,replace,,
infra-apps,reputation-kafka-prod,akhq,469,replace,,
infra-apps,reputation-kafka-prod,cert-update,156,replace,,
infra-apps,reputation-kafka-prod,kafka,469,replace,,
infra-apps,reputation-kafka-prod,kafka-lag-exporter,469,replace,,
infra-apps,reputation-kafka-prod,kafka-prometheus-jmx-exporter,469,replace,,
infra-apps,reputation-kafka-prod,strimzi-operator,156,replace,,
infra-apps,reputation-kafka-prod,user-secret-sync,156,replace,,
infra-apps,s1-kafka-api-prod,s1-kafka-api,157,replace,,
kaass,cert-manager,cert-manager-cainjector,255,replace,,
kaass,cert-manager,cert-manager-controller,255,replace,,
kaass,cert-manager,cert-manager-webhook,255,replace,,
kaass,ebs-csi,livenessprobe,363,replace,,
kaass,external-dns-internal,external-dns,111,replace,,
kaass,spark-operator,spark-operator,129,replace,,
marketplace,mgmt-nexus-prod,activity-task-transformer,156,replace,,
marketplace,mgmt-nexus-prod,callback,155,replace,,
marketplace,mgmt-nexus-prod,commands-publisher,156,replace,,
marketplace,mgmt-nexus-prod,data-plane,155,replace,,
marketplace,mgmt-nexus-prod,marketplace-fe,155,replace,,
marketplace,mgmt-nexus-prod,pushgateway,156,replace,,
marketplace,mgmt-nexus-prod,scope-lifecycle-handler,155,replace,,
marketplace,mgmt-nexus-prod,scope-lifecycle-orchestrator,155,replace,,
marketplace,mgmt-nexus-prod,task-executor,155,replace,,
marketplace,mgmt-nexus-prod,task-filter,156,replace,,
marketplace,mgmt-nexus-prod,task-scheduler,155,replace,,
marketplace,mgmt-nexus-prod,telemetry,155,replace,,
marketplace,mgmt-nexus-prod,transporter,155,replace,,
marketplace,mgmt-nexus-prod,trigger-task-transformer,156,replace,,
marketplace,mgmt-nexus-prod,users-manager,156,replace,,
marketplace,mgmt-nexus-prod,vendor-catalog,155,replace,,
marketplace,mgmt-nexus-prod,xdr-hub-fe,155,replace,,
marketplace-platform,mgmt-nexus-prod,dataset-support,156,replace,,
marketplace-platform,mgmt-nexus-prod,mgmt-entities-loader,156,replace,,
marketplace-platform,mgmt-nexus-prod,nexus-store,156,replace,,
marketplace-platform,mgmt-nexus-prod,threat-enrichment,21,maintain,,
mgmt,event-gateway-prod,event-gateway,469,replace,,
mgmt-cloud-data,atlas-backend-prod,service-api,619,replace,,
mgmt-cloud-data,cloud-data-services-prod,mgmt-command-service,106,replace,,
mgmt-cloud-data,cloud-data-services-prod,sentinel-cloud,106,replace,,
mgmt-cloud-data,mgmt-cleaner-signing-service-prod,service-api,486,replace,,
mgmt-cloud-data,mgmt-nexus-prod,alertmanager,158,replace,,
mgmt-cloud-data,mgmt-nexus-prod,azure-zerotrust-threats,59,maintain,,
mgmt-cloud-data,mgmt-nexus-prod,faas-netes,158,replace,,
mgmt-cloud-data,mgmt-nexus-prod,nats-streaming,158,replace,,
mgmt-cloud-data,mgmt-nexus-prod,okta-xdr-response,59,maintain,,
mgmt-cloud-data,mgmt-nexus-prod,openfaas-function-controller,158,replace,,
mgmt-cloud-data,mgmt-nexus-prod,prometheus,158,replace,,
mgmt-cloud-data,mgmt-nexus-prod,queue-worker,158,replace,,
mgmt-cloud-data,mgmt-nexus-prod,servicenow-sync-notes,59,maintain,,
mgmt-cloud-data,mgmt-nexus-prod,slack-notify-threats,59,maintain,,
mgmt-cloud-data,mgmt-nexus-prod,zscaler-zerotrust-threats,59,maintain,,
mgmt-cloud-data,remote-ops-forensics-mms-prod,forensics-api,155,replace,,
mgmt-cloud-data,remote-ops-forensics-mms-prod,forensics-event-handler,155,replace,,
mgmt-cloud-data,remote-ops-mms-prod,mms-event-handler,114,replace,,
mgmt-cloud-data,remote-ops-mms-prod,service-api,143,replace,,
mgmt-cloud-data,remote-scripts-prod,mgmt-entities-loader,476,replace,,
mgmt-cloud-data,remote-scripts-prod,rso-api,476,replace,,
mgmt-cloud-data,remote-scripts-prod,rso-event-handler,476,replace,,
mgmt-ranger,ranger-assets-prod,ranger-configuration,650,replace,,
mgmt-ranger,ranger-fingerprint-prod,ranger-fingerprint,645,replace,,
mgmt-ranger,ranger-pipeline-prod,care,468,replace,,
mgmt-ranger,ranger-pipeline-prod,command-engine,468,replace,,
mgmt-ranger,ranger-pipeline-prod,cpe-resolver,468,replace,,
mgmt-ranger,ranger-pipeline-prod,cve-enrichment,297,replace,,
mgmt-ranger,ranger-pipeline-prod,data-receiver,465,replace,,
mgmt-ranger,ranger-pipeline-prod,labels-processing,650,replace,,
mgmt-ranger,ranger-pipeline-prod,ranger-scheduler,468,replace,,
ranger,ranger-pipeline-prod,mgmt-entities-loader,469,replace,,
ranger,ranger-pipeline-prod,persistence,468,replace,,
ranger,ranger-pipeline-prod,ranger-api,469,replace,,
ranger,ranger-pipeline-prod,vulnerability-enrichment,468,replace,,
saas-infra,identity-provider-service-prod,ubuntu,274,replace,,
saas-infra,mms-gw-static-network-prod,ubuntu,465,replace,,
spp-team,mgmt-tag-manager-prod,commands-publisher,148,replace,,
spp-team,mgmt-tag-manager-prod,mgmt-api,149,replace,,
spp-team,mgmt-tag-manager-prod,mgmt-entities-loader,148,replace,,
spp-team,mgmt-threat-actions-prod,callbacks-manager,135,replace,,
spp-team,mgmt-threat-actions-prod,commands-publisher,135,replace,,
spp-team,mgmt-threat-actions-prod,mgmt-entities-loader,135,replace,,
spp-team,mgmt-threat-actions-prod,service-api,135,replace,,
spp-team,mgmt-threat-actions-prod,triggers-manager,135,replace,,
sre-shared-services,reputation-kafka-connect-prod,kafka-connect-ui-v097,468,replace,,
star-team,mgmt-war-prod,alerts-manager,99,replace,,
star-team,mgmt-war-prod,commands-publisher,99,replace,,
star-team,mgmt-war-prod,mgmt-api,99,replace,,
star-team,mgmt-war-prod,mgmt-entities-loader,99,replace,,
star-team,mgmt-war-prod,rules-manager,99,replace,,
webapp-x,gatekeeper-prod,gatekeeper,80,maintain,,
webapp-x,metrics-proxy-prod,metrics-proxy,80,maintain,,
webapp-x,page-resolver-service-prod,page-resolver-service,80,maintain,,